Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
611542,The Complete Poems,John Keats,"Keats, John",John Barnard,"=""0140422102""","=""9780140422108""",5,4.25,Penguin Classics,Paperback,752,1977,1820,2024/01/28,2023/07/30,"poesía, favoritos, mitología","poesía (#18), favoritos (#32), mitología (#50)",read,,,,1,0
27730670,Otho the Great,John Keats,"Keats, John",,"=""1515137627""","=""9781515137627""",5,2.91,Createspace Independent Publishing Platform,Paperback,102,2015,,2024/01/11,2024/01/08,"poesía, teatral-dramático","poesía (#19), teatral-dramático (#15)",read,,,,1,0
13321537,El libro de Enoc (Spanish Edition),Anonymous,"Anonymous, Anonymous",,"=""1467995533""","=""9781467995535""",5,3.97,CreateSpace Independent Publishing Platform,Paperback,154,2011,-300,2021/09/27,2021/09/18,"mitología, poesía","mitología (#23), poesía (#30)",read,,,,1,0
1009818,El gran teatro del mundo / El gran mercado del mundo,Pedro Calderón de la Barca,"Barca, Pedro Calderón de la",,"=""8437600294""","=""9788437600291""",5,3.78,Cátedra,Paperback,152,2005,1655,2022/03/10,2022/03/07,"teatral-dramático, poesía","teatral-dramático (#5), poesía (#29)",read,,,,1,0
377113,"Macbeth. El Mercader de Venecia. Las Alegres Comadres de Windsor. Julio César. La Tempestad. (Sepan Cuantos, #96)",William Shakespeare,"Shakespeare, William",,"=""9700762890""","=""9789700762890""",5,4.01,"Editorial Porrúa, S.A.",Paperback,231,2009,1968,2022/04/11,2021/09/18,"teatral-dramático, poesía","teatral-dramático (#6), poesía (#28)",read,,,,1,0
4595558,Upanisads,Anonymous,"Anonymous, Anonymous",Patrick Olivelle,"=""019954025X""","=""9780199540259""",5,4.25,Oxford University Press,Paperback,512,2008,-500,2021/07/06,2021/07/03,"filosofía, favoritos, mitología, oriental, poesía","filosofía (#65), favoritos (#14), mitología (#19), oriental (#2), poesía (#27)",read,,,,2,0
34457177,Otelo,William Shakespeare,"Shakespeare, William",Lawrence Flores Pereira,"=""858285045X""","=""9788582850459""",5,3.89,Penguin Companhia,Paperback,328,2017,1603,2023/07/09,2023/07/08,"teatral-dramático, poesía","teatral-dramático (#10), poesía (#24)",read,,,,1,0
50889060,El rey Lear (edición ilustrada y bilingüe),William Shakespeare,"Shakespeare, William",,"=""8439732171""","=""9788439732174""",5,3.91,Random House,Hardcover,320,2016,1605,2023/07/11,2023/07/09,"teatral-dramático, poesía","teatral-dramático (#11), poesía (#23)",read,,,,1,0
16697997,El médico de su honra,Pedro Calderón de la Barca,"Barca, Pedro Calderón de la",Jesús Pérez Magallón,"=""8437630061""","=""9788437630069""",5,3.56,Cátedra,Paperback,416,2012,1637,2023/07/12,2023/07/12,"teatral-dramático, poesía","teatral-dramático (#12), poesía (#22)",read,,,,1,0
1375660,Antonio y Cleopatra,William Shakespeare,"Shakespeare, William",,"=""8484035719""","=""9788484035718""",5,3.71,Edimat Libros,Hardcover,128,2003,1606,2023/07/29,2023/07/13,"teatral-dramático, poesía","teatral-dramático (#13), poesía (#21)",read,,,,1,0
61423858,Children of Dune,Frank Herbert,"Herbert, Frank",,"=""0593548450""","=""9780593548455""",5,3.95,Ace,Hardcover,478,2023,1976,2024/01/04,2023/12/27,"ciencia-ficción, novelas","ciencia-ficción (#6), novelas (#62)",read,,,,1,0
61403877,Dune Messiah,Frank Herbert,"Herbert, Frank",,"=""0593548442""","=""9780593548448""",5,3.89,Ace,Hardcover,288,2023,1969,2023/12/29,2023/12/27,"ciencia-ficción, novelas","ciencia-ficción (#5), novelas (#61)",read,,,,1,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",5,4.29,Ace,Hardcover,658,2019,1965,2023/12/26,2023/12/17,"ciencia-ficción, novelas","ciencia-ficción (#4), novelas (#60)",read,,,,1,0
60640778,Correspondencia escogida (1799-1860),Arthur Schopenhauer,"Schopenhauer, Arthur",Luis Fernando Moreno Claros,"=""8418370793""","=""9788418370793""",5,5.00,Acantilado,Paperback,832,2022,,2023/12/10,2023/07/20,"epistolas, schopenhueriano","epistolas (#3), schopenhueriano (#8)",read,,,,1,0
24527645,A Christmas Carol and Other Christmas Writings,Charles Dickens,"Dickens, Charles",Michael Slater,"=""""","=""""",4,4.14,Penguin Classics,Paperback,288,2003,1843,2023/11/27,2023/11/01,cuentos,cuentos (#27),read,,,,1,0
10835170,Eldritch Tales: A Miscellany of the Macabre,H.P. Lovecraft,"Lovecraft, H.P.","Stephen              Jones, Les Edwards","=""0575099356""","=""9780575099357""",5,4.09,Gollancz,Hardcover,540,2011,2011,2023/10/07,2023/07/14,"antología, cuentos, miedo, mitología","antología (#5), cuentos (#25), miedo (#9), mitología (#48)",read,,,,1,0
60811108,Cuentos tradicionales de Japón,Kayoko Takagi,"Takagi, Kayoko",,"=""8413628083""","=""9788413628080""",5,3.61,Alianza Editorial,Paperback,288,2022,2009,2023/10/03,2023/09/16,"antología, cuentos","antología (#6), cuentos (#26)",read,,,,1,0
55719836,"A History of Ancient Egypt, 2nd Edition (Blackwell History of the Ancient World)",Marc Van de Mieroop,"Mieroop, Marc Van de",,"=""1119620872""","=""9781119620877""",0,3.93,Wiley-Blackwell,Paperback,416,2021,2010,,2022/07/03,"history, to-read","history (#10), to-read (#47)",to-read,,,,0,0
29604100,El héroe de las mil caras,Joseph Campbell,"Campbell, Joseph",,"=""8437507375""","=""9788437507378""",5,4.12,"Fondo de Cultura Económica de España, S.L.",Paperback,480,2015,1949,2023/08/22,2023/07/30,"filosofía, mitología","filosofía (#80), mitología (#47)",read,,,,1,0
40875647,Tristán e Isolda,Eilhart von Oberg,"Oberg, Eilhart von","Gottfried von Strassburg, Victor Millet, Bernd Dietz","=""8416465789""","=""9788416465781""",0,3.71,Siruela,Paperback,496,2016,1210,,2023/07/29,to-read,to-read (#46),to-read,,,,0,0
14742269,Las penas del joven Werther,Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von","Isabel Hernández, Daniel Nikolaus Chodowiecki","=""848428641X""","=""9788484286417""",5,3.70,Alba Editorial,Hardcover,208,2011,1774,2023/07/26,2022/07/26,"epistolas, novelas","epistolas (#2), novelas (#59)",read,,,,1,0
23182234,Endymion,John Keats,"Keats, John",,"=""1501015974""","=""9781501015977""",5,3.91,CreateSpace Independent Publishing Platform,Paperback,234,2014,1818,2023/07/23,2023/07/13,"poesía, mitología","poesía (#17), mitología (#46)",read,,,,1,0
489732,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Robert Mighall,"=""0141439572""","=""9780141439570""",0,4.14,Penguin Classics,Paperback,253,2003,1890,,2023/07/21,to-read,to-read (#45),to-read,,,,0,0
35627115,Los tres mosqueteros,Alexandre Dumas,"Dumas, Alexandre",,"=""8491043209""","=""9788491043201""",0,4.10,Alianza Editorial,Paperback,876,2016,1844,,2023/07/20,to-read,to-read (#44),to-read,,,,0,0
1241267,Eugenio Oneguin,Alexander Pushkin,"Pushkin, Alexander",,"=""8437618231""","=""9788437618234""",5,4.10,Catedra,Paperback,554,2005,1831,2023/07/14,2023/07/13,"literatura-rusa, poesía","literatura-rusa (#16), poesía (#16)",read,,,,1,0
